source_token,diagnostic_ksh_code,diagnostic_ksh_name,historical_source_form,historical_comparison_status,admission_status,notes
Bakonykuti,23153,Bakonykúti,Bakonykuti,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Current 20241209 ÉDÁSZ M1 and official 2017 ÉDÁSZ M1 repeat the same source-native form; KSH target remains diagnostic only."
Dőr,21917,Dör,Dőr,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Egyházasrádoc,25946,Egyházasrádóc,Egyházasrádoc,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Felcsut,29939,Felcsút,Felcsut,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Felsőőrs,24369,Felsőörs,Felsőőrs,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Gogánfa,18193,Gógánfa,Gogánfa,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Gor,11156,Gór,Gor,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Gönyü,02060,Gönyű,Gönyü,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Gösfa,29771,Gősfa,Gösfa,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Gyanogeregye,27030,Gyanógeregye,Gyanogeregye,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Gyuró,15918,Gyúró,Gyuró,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Horvátlővő,12733,Horvátlövő,Horvátlővő,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Karakoszörcsök,08749,Karakószörcsök,Karakoszörcsök,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Kemeneshögyész,19734,Kemeneshőgyész,Kemeneshögyész,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Kisbabót,02413,Kisbabot,Kisbabót,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Kővágóőrs,23454,Kővágóörs,Kővágóőrs,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Lővő,31194,Lövő,Lővő,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Nemesböd,24509,Nemesbőd,Nemesböd,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Nyögér,22318,Nyőgér,Nyögér,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Óhid,27775,Óhíd,Óhid,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Ólmód,22044,Ólmod,Ólmód,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Őrimagyarosd,13453,Őrimagyarósd,Őrimagyarosd,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Palóznak,17011,Paloznak,Palóznak,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Rádockölked,07551,Rádóckölked,Rádockölked,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Sotony,22983,Sótony,Sotony,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Sur,31990,Súr,Sur,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Szomod,22619,Szomód,Szomod,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Úrkut,20853,Úrkút,Úrkut,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Vasszécsény,29373,Vasszécseny,Vasszécsény,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
Zalalővő,30313,Zalalövő,Zalalővő,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"Historical repetition is not independent identity-equivalence authority."
