ksh_settlement_code,settlement_name
12016,Becske
27049,Becskeháza
06929,Bekecs
04400,Bekölce
33260,Bélapátfalva
25098,Bénye
32911,Bér
02389,Bercel
34290,Berente
29674,Beret
09034,Berkenye
26356,Berzék
27517,Besenyőtelek
22354,Boconád
14933,Bodony
23737,Bodroghalom
30784,Bodrogkeresztúr
33808,Bodrogkisfalud
14401,Bodrogolaszi
27429,Bódvalenke
33303,Bódvarákó
05926,Bódvaszilas
25195,Bogács
03841,Bokor
03452,Boldog
18944,Boldogkőújfalu
14474,Boldogkőváralja
08396,Boldva
30669,Borsodbóta
16124,Borsodgeszt
06707,Borsodivánka
05315,Borsodnádasd
30207,Borsodszentgyörgy
16799,Borsodszirák
09894,Borsosberény
31006,Bózsva
05306,Bőcs
14234,Buják
13596,Bükkábrány
27890,Bükkaranyos
19406,Bükkmogyorósd
02963,Bükkszék
10621,Bükkszenterzsébet
08022,Bükkszentkereszt
22099,Bükkszentmárton
32887,Bükkzsérc
23977,Büttös
03665,Cered
03939,Cigánd
16841,Csány
30270,Csécse
08493,Csenyéte
06974,Cserépfalu
25575,Cserépváralja
21935,Cserháthaláp
22594,Cserhátsurány
32319,Cserhátszentiván
28459,Csernely
20145,Csesztve
34111,Csincse
05050,Csitár
05333,Csobád
20774,Csobaj
14289,Csokvaomány
11350,Damak
07719,Dámóc
18397,Dány
07320,Debercsény
31954,Debréte
04686,Dédestapolcsány
12511,Dejtár
08660,Demjén
10524,Detek
09201,Detk
06743,Diósjenő
25690,Domaháza
04808,Domony
07515,Domoszló
30261,Dormánd
24439,Dorogháza
06123,Dövény
08156,Drégelypalánk
27669,Dubicsány
17181,Ecséd
04251,Ecseg
10728,Edelény
20491,Eger
12821,Egerbakta
26019,Egerbocs
16610,Egercsehi
02981,Egerfarmos
05865,Egerlövő
24758,Egerszalók
13648,Egerszólát
13356,Égerszög
17659,Egyházasdengeleg
05980,Egyházasgerge
04677,Emőd
33048,Encs
25496,Endrefalva
25326,Erdőbénye
22503,Erdőhorváti
28556,Erdőkövesd
22655,Erdőkürt
21795,Erdőtarcsa
24235,Erdőtelek
20118,Erk
21582,Érsekvadkert
15370,Etes
02741,Fáj
12557,Fancsal
34272,Farkaslyuk
09122,Farmos
12432,Fedémes
20747,Feldebrő
08174,Felsőberecki
09742,Felsődobsza
29708,Felsőgagy
31723,Felsőkelecsény
32762,Felsőnyárád
24323,Felsőpetény
07588,Felsőregmec
16328,Felsőtárkány
31671,Felsőtelekes
33312,Felsőtold
23533,Felsővadász
02848,Felsőzsolca
25238,Filkeháza
30483,Forró
22123,Fulókércs
17109,Füzér
06460,Füzérkajata
11378,Füzérkomlós
10366,Füzérradvány
03276,Füzesabony
05494,Gadna
28732,Gagyapáti
28307,Gagybátor
03744,Gagyvendégi
25663,Galgaguta
19503,Galgahévíz
19293,Galvács
18494,Garáb
10904,Garadna
23719,Gelej
15608,Gesztely
20969,Gibárt
21564,Girincs
13134,Golop
09441,Gomba
09706,Gömörszőlős
15936,Gönc
18643,Göncruszka
05236,Gyöngyös
17534,Gyöngyöshalász
13338,Gyöngyösoroszi
08323,Gyöngyöspata
19123,Gyöngyössolymos
28088,Gyöngyöstarján
05069,Györgytarló
27942,Halmaj
11411,Halmajugra
11226,Hangács
25104,Hangony
12706,Háromhuta
22309,Hatvan
02468,Hegymeg
03993,Héhalom
22187,Hejce
06655,Hejőbába
04604,Hejőkeresztúr
02282,Hejőkürt
16780,Hejőpapi
12159,Hejőszalonta
30137,Hercegkút
20242,Heréd
05324,Herencsény
15839,Hernádbűd
09399,Hernádcéce
24165,Hernádkak
21829,Hernádkércs
31200,Hernádnémeti
24882,Hernádpetri
17136,Hernádszentandrás
24970,Hernádszurdok
19840,Hernádvécse
08004,Hét
14526,Heves
10241,Hevesaranyos
04084,Hevesvezekény
13949,Hévízgyörk
11697,Hidasnémeti
31167,Hollóháza
33242,Hollókő
21236,Homrogd
13204,Hont
13718,Horpács
04145,Hort
16878,Hugyag
25399,Igrici
03300,Iklad
26833,Iliny
16577,Imola
08086,Ináncs
03328,Ipolytarnóc
29319,Ipolyvece
05005,Irota
10074,Istenmezeje
13879,Ivád
05591,Izsófalva
20233,Jákfalva
26657,Járdánháza
22929,Jászágó
22202,Jászapáti
22105,Jászárokszállás
18209,Jászberény
17978,Jászdózsa
23579,Jászfelsőszentgyörgy
23339,Jászfényszaru
24086,Jászivány
25186,Jászjákóhalma
22798,Jászkisér
13514,Jászszentandrás
23135,Jásztelek
08712,Jobbágyi
15680,Jósvafő
32993,Kács
32179,Kál
08642,Kálló
07764,Kánó
25742,Kány
15307,Kápolna
05935,Karácsond
18625,Karancsalja
25548,Karancsberény
08855,Karancskeszi
21041,Karancslapujtő
26897,Karancsság
21218,Karcsa
30508,Karos
30696,Kartal
27827,Káva
28389,Kazár
06691,Kazincbarcika
13374,Kázsmárk
15264,Kéked
12034,Kelemér
05458,Kenézlő
28079,Kerecsend
34379,Kerekharaszt
17066,Keresztéte
29249,Kesznyéten
11846,Kétbodony
32090,Királd
27243,Kisbágyon
26295,Kisbárkány
17349,Kiscsécs
33206,Kisecset
22460,Kisfüzes
22840,Kisgyőr
33400,Kishartyán
28875,Kishuta
03762,Kiskinizs
18281,Kisköre
12502,Kisnána
11448,Kisrozvágy
14702,Kissikátor
12399,Kistokaj
31361,Kóka
10612,Komjáti
16559,Komlóska
23995,Kompolt
32498,Kondó
22956,Korlát
28547,Kovácsvágás
13842,Kozárd
14535,Kömlő
26602,Köröm
19576,Krasznokvajda
18722,Kupa
11819,Kurityán
19451,Kutasó
20844,Lácacséke
26231,Ládbesenyő
15857,Lak
30395,Legénd
11660,Legyesbénye
03531,Léh
07038,Lénárddaróc
28219,Litka
04871,Litke
30401,Lőrinci
20190,Lucfalva
02778,Ludányhalászi
15796,Ludas
03902,Mád
26967,Magyargéc
32407,Magyarnándor
19600,Makkoshotyka
27696,Maklár
14915,Mályinka
16540,Markaz
02024,Martonyi
19965,Mátraballa
14872,Mátraderecske
20075,Mátramindszent
19372,Mátranovák
24332,Mátraszele
29045,Mátraszentimre
04330,Mátraszőlős
30100,Mátraverebély
21768,Megyaszo
03692,Mende
25618,Méra
11758,Meszes
13833,Mezőcsát
11323,Mezőkeresztes
19433,Mezőkövesd
18379,Mezőnagymihály
11749,Mezőnyárád
25089,Mezőszemere
31662,Mezőtárkány
03443,Mezőzombor
13222,Mihálygerge
31282,Mikófalva
24253,Mikóháza
10968,Mogyoróska
27915,Mohora
09016,Monaj
07825,Monok
31565,Mónosbél
21546,Múcsony
02158,Muhi
29188,Nagybarca
16391,Nagybárkány
05582,Nagycsécs
26879,Nagyfüged
15468,Nagyhuta
13435,Nagykáta
26505,Nagykinizs
24943,Nagykökényes
21102,Nagylóc
23986,Nagyoroszi
31486,Nagyréde
33181,Nagyrozvágy
27605,Nagytálya
10418,Nagyút
28282,Nagyvisnyó
24156,Négyes
28033,Nekézseny
05245,Nemesbikk
27580,Nemti
09797,Nézsa
04358,Nógrád
32300,Nógrádkövesd
29832,Nógrádmarcal
12131,Nógrádmegyer
08387,Nógrádsáp
19497,Nógrádsipek
27340,Nógrádszakál
18810,Noszvaj
29276,Novaj
27191,Novajidrány
29425,Nőtincs
12885,Nyékládháza
04419,Nyésta
26435,Nyíri
04215,Nyomár
31778,Olaszliszka
22558,Onga
22628,Ónod
34069,Ormosbánya
27216,Ostoros
02866,Oszlár
14492,Ózd
03249,Őrhalom
19318,Ősagárd
15893,Pácin
12362,Pálháza
05883,Palotás
12371,Pamlény
22248,Pánd
24730,Pányok
07436,Parád
20215,Parádsasvár
26745,Parasznya
07409,Pásztó
07199,Patak
33880,Patvarc
19567,Pély
24420,Pere
32683,Perecse
33419,Perkupa
12070,Pétervására
33686,Petőfibánya
11590,Piliny
22196,Poroszló
21272,Prügy
17862,Pusztaberki
17048,Pusztafalu
15246,Pusztamonostor
15413,Pusztaradvány
27410,Putnok
21193,Radostyán
06053,Ragály
29717,Rakaca
16133,Rakacaszend
34360,Rákóczibánya
31909,Rásonysápberencs
12469,Rátka
09609,Recsk
08402,Regéc
31884,Répáshuta
23825,Rétság
09317,Révleányvár
19220,Ricse
28884,Rimóc
12195,Romhány
27650,Rózsaszentmárton
23029,Rudabánya
34120,Rudolftelep
12520,Ságújfalu
03504,Sajóbábony
27331,Sajóecseg
10171,Sajógalgóc
03081,Sajóhídvég
03212,Sajóivánka
21670,Sajókápolna
14313,Sajókaza
26949,Sajókeresztúr
27173,Sajólád
22479,Sajólászlófalva
15945,Sajómercse
11332,Sajónémeti
08129,Sajóörös
18537,Sajópálfala
16638,Sajópetri
23782,Sajópüspöki
08970,Sajósenye
16054,Sajószentpéter
30340,Sajószöged
20738,Sajóvámos
27757,Sajóvelezd
25788,Salgótarján
04729,Sály
24572,Sámsonháza
20516,Sárazsadány
27474,Sárospatak
07180,Sarud
02875,Sáta
05120,Sátoraljaújhely
25380,Selyeb
23755,Semjén
32531,Serényfalva
23418,Sima
08527,Sirok
01526,Somoskőújfalu
14881,Sóshartyán
13268,Sóstófalva
21713,Sülysáp
16063,Szajla
32258,Szakácsi
03805,Szakáld
31015,Szalaszend
19798,Szalmatercs
16753,Szalonna
13754,Szanda
10199,Szarvasgede
03382,Szarvaskő
08147,Szászfa
15325,Szátok
23047,Szécsénke
06628,Szécsény
33011,Szécsényfelfalu
33817,Szegi
31510,Szegilong
09830,Szemere
04507,Szendehely
08077,Szendrő
27456,Szendrőlád
13231,Szentdomonkos
09043,Szente
07542,Szentlőrinckáta
28653,Szentmártonkáta
30739,Szerencs
11013,Szihalom
21351,Szikszó
07959,Szilaspogony
05643,Szilvásvárad
20871,Szin
11493,Szinpetri
21634,Szirák
09496,Szirmabesenyő
18892,Szomolya
16179,Szögliget
07889,Szőlősardó
13523,Szúcs
28194,Szuha
03160,Szuhafő
11110,Szuhakálló
24606,Szuhogy
19044,Szurdokpüspöki
09982,Szűcsi
18786,Szügy
03708,Taktabáj
18245,Taktaharkány
28787,Taktakenéz
03133,Taktaszada
12210,Tállya
15015,Tápióbicske
17303,Tápiógyörgye
09405,Tápióság
31796,Tápiószecső
14146,Tápiószele
14571,Tápiószentmárton
02769,Tápiószőlős
32896,Tar
21740,Tarcal
08165,Tard
14784,Tardona
32966,Tarnabod
13240,Tarnalelesz
23348,Tarnaméra
14128,Tarnaörs
09052,Tarnaszentmária
16160,Tarnaszentmiklós
17163,Tarnazsadány
13763,Telkibánya
14076,Tenk
04844,Terény
24174,Tereske
28635,Teresztenye
12229,Terpes
30447,Tibolddaróc
02291,Tiszabábolna
29133,Tiszacsermely
03717,Tiszadorogma
13976,Tiszakarád
13888,Tiszakeszi
19381,Tiszaladány
28398,Tiszalúc
07083,Tiszanána
08633,Tiszapalkonya
30298,Tiszatardos
30377,Tiszatarján
28352,Tiszaújváros
10977,Tiszavalk
21467,Tóalmás
09964,Tófalu
18306,Tokaj
28051,Tolcsva
06381,Tolmács
14890,Tomor
16902,Tornabarakony
10375,Tornakápolna
18801,Tornanádaska
27836,Tornaszentandrás
30517,Tornaszentjakab
29054,Tornyosnémeti
04914,Trizs
09593,Tura
12487,Újcsanálos
27623,Újlőrincfalva
18351,Uppony
28644,Úri
09104,Vácszentlászló
07223,Vadna
29151,Vágáshuta
30003,Vajdácska
17598,Valkó
14580,Vámosgyörk
15149,Vámosújfalu
30915,Vanyarc
27012,Váraszó
21810,Varbó
10144,Varbóc
29498,Varsány
30076,Vatta
05759,Vécs
24147,Verpelét
22488,Verseg
11581,Vilmány
12982,Vilyvitány
31246,Visonta
05096,Viss
03957,Viszló
03513,Visznek
10320,Vizslás
21087,Vizsoly
21661,Zabar
03063,Zádorfalva
21722,Zagyvaszántó
15617,Zalkod
23445,Zaránk
31608,Zemplénagárd
19275,Ziliz
19105,Zubogy
22035,Zsámbok
11022,Zsujta
30456,Miskolc
33525,Mátraterenye
14641,Márkháza
27395,Mályi
22169,Szentistván
08484,Szentistvánbaksa
