source_token,source_occurrence_count,residual_class,admission_status
Abaújdevecser (Encs),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Alatka (Heves),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Aranyospuszta (Abaújkér),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Baglyasalja (Salgótarján),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Bagolyírtás (Mátraszentimre),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Bánszállás (Ózd),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Benczúrfalva (Szécsény),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Bodrogszegi (Szegi),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Büdöskútpuszta (Szendrő),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Bükkszentlászló (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Center (Ózd),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Csengerháza (Mátraverebély),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Dicháza (Homrogd),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Dinnyéshát (Tiszanána),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Diósgyőr (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Dobódél (Perkupa),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Dusnokpuszta (Sajószentpéter),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Eresztvény (Salgótarján),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Fallóskút (Mátraszentimre),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Fenyőharaszt (Verseg),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Finke (Edelény),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Fügöd (Encs),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Galyatető (Mátraszentimre),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Görömböly (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Gusztávakna (Karancsalja),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Hámor (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Hasznos (Pásztó),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Hejőcsaba (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Hényelpuszta (Buják),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Hódoscsépány (Ózd),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Ipolyszög (Balassagyarmat),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Jánosakna (Mátraterenye),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Kányástelep (Mátraverebély),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Károlyfalva (Sátoraljaújhely),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Katalinpuszta (Szendehely),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Kékestető (Gyöngyös),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Kisbózsva (Bózsva),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Kisgéc (Magyargéc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Kisterenye (Bátonyterenye),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Komlóstető (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Kőkapu (Kishuta),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Kőkútpuszta (Sirok),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Lillafüred (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Lőrincierőműltp (Lőrinci),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Maconka (Bátonyterenye),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Majláth (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Mátraalmás (Szuha),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Mátrafüred (Gyöngyös),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Mátraháza (Gyöngyös),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Mátrakeresztes (Pásztó),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Mátraszentistván Mátraszentimre),1,MALFORMED_PARENT_CONTEXT_TOKEN,UNRESOLVED_USAGE_LOCATION_REQUIRED
Mátraszentlászló (Mátraszentimre),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Mizserfa (Kazár),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Nádújfalu (Mátraterenye),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Nagybátony (Bátonyterenye),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Nagyhomok (Tiszakarád),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Nagykeresztúr (Lucfalva),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Nógrádgárdony (Csitár),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Nyírjes (Balassagyarmat),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Ócsanálos (Onga),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Ómassa (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Ond (Szerencs),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
