settlement_name,prior_operator_id,prior_raw_status,conflict_operator_id,conflict_authority_source_id,p62_effective_status,admission_rule,notes
Csabacsűd,OPUS_TITASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Csabacsűd inside MVM Démász territory; the OPUS M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Dabas,ELMU,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Dabas inside MVM Démász territory; the ELMŰ M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Dévaványa,OPUS_TITASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Dévaványa inside MVM Démász territory; the OPUS M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Gyomaendrőd,OPUS_TITASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Gyomaendrőd inside MVM Démász territory; the OPUS M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Kunszentmárton,OPUS_TITASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Kunszentmárton inside MVM Démász territory; the OPUS M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Mohács,EON_DDASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Mohács inside MVM Démász territory; the DDÁSZ M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Péteri,ELMU,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Péteri inside MVM Démász territory; the ELMŰ M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Szeghalom,OPUS_TITASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Szeghalom inside MVM Démász territory; the OPUS M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Tiszakécske,OPUS_TITASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Tiszakécske inside MVM Démász territory; the OPUS M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Tiszasas,OPUS_TITASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Tiszasas inside MVM Démász territory; the OPUS M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Tiszaug,OPUS_TITASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Tiszaug inside MVM Démász territory; the OPUS M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Újhartyán,ELMU,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Újhartyán inside MVM Démász territory; the ELMŰ M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
Zsadány,OPUS_TITASZ,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,MVM_DEMASZ,SRC-B10-MVM-DEMASZ-M1-2026,WHOLE_SETTLEMENT_CLAIM_SUPERSEDED,ADMINISTRATIVE_UNIT_PRESENCE_ONLY_UNTIL_BOUNDARY_AUTHORITY,"Current MVM Démász M1 explicitly places part of Zsadány inside MVM Démász territory; the OPUS M1 exact administrative-unit token cannot remain an effective whole-settlement claim without current claim-specific boundary authority."
