source_id,module_id,layer,title,institution,url,reference_period,retrieved_at,source_tier,evidence_status,license_status,local_snapshot_status,notes
SRC-B04-MVM-M1-2026,B04,REGULATED_RESIDENTIAL_ELECTRICITY,Elektromos egyetemes szolgáltatói üzletszabályzat M.1 melléklet 2026. március 1.,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/aram/servlet/download?id=16548&type=file,2026-03-01 onward,2026-08-22,P1,OBS,Public official PDF,not stored,"Current A1/A2/B/H energy components, VAT, threshold and H conditions."
SRC-B04-MVM-RESIDENTIAL-TARIFF-2026,B04,REGULATED_RESIDENTIAL_ELECTRICITY,Lakossági villamosenergia árak és díjtájékoztató,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/aram/servlet/download?id=16214&type=file,current tariff-table snapshot,2026-08-22,P1,OBS,Public official PDF,not stored,"Distributor-area final gross tariff table cross-check; component bridge remains partial."
SRC-B04-MVM-H-FAQ-2026,B04,H_TARIFF,H tarifa gyakori kérdések,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/lakossagirezsi/gyakorikerdesek-aram,current customer rules,2026-08-22,P1,OBS,Public official page,not stored,"Season, separate meter, SPF and allocation rules."
SRC-B04-MVM-TARIFF-OVERVIEW-2026,B04,REGULATED_RESIDENTIAL_ELECTRICITY,Lakossági villamosenergia-tarifák áttekintése,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/aram/pages/aloldal.jsp?id=1926709,current tariff overview,2026-08-22,P1,OBS,Public official page,not stored,"Meter categories and HMKE restrictions."
SRC-B04-MVM-BILLING-2026,B04,MARKET_BASED_RESIDENTIAL_ELECTRICITY,Részletes információk az áramszámláról,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/lakossagirezsi/reszletes-informaciok-az-aramszamlarol,current billing information,2026-08-22,P1,OBS,Public official page,not stored,"Market final gross control point and H outside-season rule."
SRC-B04-MEKH-SYSTEM-FEES-2024,B04,COMPONENT_BRIDGE,10/2024 MEKH rendszerhasználati díjak,Nemzeti Jogszabálytár,https://njt.hu/jogszabaly/2024-10-20-5Z,current consolidated text,2026-08-22,P1,POL,Official legal text,not stored,"Legal component rule; exact 2026 numerical bridge is not fully extracted."
SRC-B04-HUPX-DATA-2026,B04,WHOLESALE_ELECTRICITY,HUPX Data Reporting and market data licensing,HUPX Zrt.,https://hupx.hu/data-reporting,current data access terms,2026-08-22,P1,POL,License/subscription required,not stored,"Historical and forward wholesale data are Q until licensed export is obtained."
SRC-B04-HUPX-DAM-REPORT-2026,B04,WHOLESALE_ELECTRICITY,DAM HUPX Price Volume Report specification,HUPX Zrt.,https://hupx.hu/uploads/Kereskedes/Adatszolg%C3%A1ltat%C3%A1s/Info%20user/DAM_HUPX_Price_Volume_report_infouser_public_2022.pdf,public DAM report format,2026-08-22,P1,OBS,Public specification,not stored,"EUR/MWh report schema."
SRC-B04-HUPX-MARCH-2026,B04,WHOLESALE_ELECTRICITY,HUPX Spot March 2026 report,HUPX Zrt.,https://hupx.hu/sites/default/files/media/file/2026/04/HUPX_Spot_March_Report_2026.pdf,March 2026 observation,2026-08-22,P1,OBS,Public official report,not stored,"Control observation only: DAM baseload 103.52 EUR/MWh."
SRC-B04-MNB-FX-2026,B04,WHOLESALE_ELECTRICITY,Árfolyamstatisztikák,Magyar Nemzeti Bank,https://statisztika.mnb.hu/publikacios-temak/arak_-arfolyamok/arfolyamok/arfolyamstatisztikak,current and historical FX,2026-08-22,P1,OBS,Public statistical page,not stored,"EUR/HUF conversion source; specific rate remains Q."
