variable_id,module_id,layer,name,definition,unit,status,source_ids,updated_at,notes
VAR-B04-REGULATED-THRESHOLD-KWH,B04,REGULATED_RESIDENTIAL_ELECTRICITY,Éves kedvezményes küszöb,A1/A2 éves kedvezményes mennyiség mérőnként és felhasználási helyenként,kWh/year,OBS,SRC-B04-MVM-M1-2026;SRC-B04-MVM-H-FAQ-2026,2026-08-22,Canonical threshold; H heating season is separately allocated.
VAR-B04-REGULATED-YEAR-WINDOW,B04,REGULATED_RESIDENTIAL_ELECTRICITY,Elszámolási év,Augusztus 1-től következő július 31-ig tartó kedvezményes év,calendar interval,OBS,SRC-B04-MVM-M1-2026;SRC-B04-MVM-H-FAQ-2026,2026-08-22,Proration is daily and meter-specific.
VAR-B04-A1-DISCOUNTED-GROSS,B04,REGULATED_RESIDENTIAL_ELECTRICITY,A1 kedvezményes végső bruttó ár,Elosztói területenkénti energia és rendszerhasználati díjjal közölt final gross,HUF/kWh,OBS,SRC-B04-MVM-M1-2026;SRC-B04-MVM-RESIDENTIAL-TARIFF-2026,2026-08-22,Current snapshot; final component bridge is documented separately.
VAR-B04-A1-MARKET-GROSS,B04,MARKET_BASED_RESIDENTIAL_ELECTRICITY,A1 küszöb feletti végső bruttó ár,Kedvezményes mennyiség feletti lakossági piaci final gross ár,HUF/kWh,OBS,SRC-B04-MVM-BILLING-2026;SRC-B04-MVM-M1-2026,2026-08-22,Not a wholesale price.
VAR-B04-H-SEASON,B04,H_TARIFF,H idény,Az október 15. és április 15. közötti H kedvezményes időszak,month-day interval,OBS,SRC-B04-MVM-H-FAQ-2026;SRC-B04-MVM-M1-2026,2026-08-22,Inclusive boundary in the canonical engine.
VAR-B04-H-SPF-MIN,B04,H_TARIFF,H minimum szezonális fűtési tényező,H tarifa jogosultság minimum szezonális fűtési tényező,ratio,OBS,SRC-B04-MVM-H-FAQ-2026;SRC-B04-MVM-M1-2026,2026-08-22,Minimum 3.4.
VAR-B04-H-HEATING-GROSS,B04,H_TARIFF,H idénybeli végső bruttó ár,Elosztói területenkénti H heating-season final gross,HUF/kWh,OBS,SRC-B04-MVM-M1-2026;SRC-B04-MVM-RESIDENTIAL-TARIFF-2026,2026-08-22,H tariff is not a general household/battery tariff.
VAR-B04-H-BATTERY-STATUS,B04,H_TARIFF,H akkumulátortöltési jogosultság,Explicit legal-technical proof status for battery charging on H circuit,enum,Q,SRC-B04-MVM-H-FAQ-2026,2026-08-22,Fail closed: Q; no automatic battery assignment.
VAR-B04-H-EXPORT-STATUS,B04,H_TARIFF,H export status,Explicit proof status for export or VPP operation on H circuit,enum,Q,SRC-B04-MVM-M1-2026;SRC-B04-MVM-TARIFF-OVERVIEW-2026,2026-08-22,Fail closed: Q.
VAR-B04-VAT-RATE,B04,REGULATED_RESIDENTIAL_ELECTRICITY,ÁFA,Current gross-up VAT rate,ratio,OBS,SRC-B04-MVM-M1-2026,2026-08-22,27 percent.
VAR-B04-HUPX-DAM-BASELOAD,B04,WHOLESALE_ELECTRICITY,HUPX DAM baseload,Official day-ahead baseload observation,EUR/MWh,OBS,SRC-B04-HUPX-MARCH-2026,2026-08-22,March 2026 control point only.
VAR-B04-WHOLESALE-HISTORY,B04,WHOLESALE_ELECTRICITY,HUPX history 2015-2026,Full licensed historical series,EUR/MWh,Q,SRC-B04-HUPX-DATA-2026,2026-08-22,Acquisition plan: licensed HUPX export.
VAR-B04-WHOLESALE-FORWARD,B04,WHOLESALE_ELECTRICITY,HUPX forward,Current forward curve,EUR/MWh,Q,SRC-B04-HUPX-DATA-2026,2026-08-22,Acquisition plan: licensed forward export.
VAR-B04-EUR-HUF,B04,WHOLESALE_ELECTRICITY,EUR/HUF conversion,Official MNB EUR/HUF rate used for unit conversion,HUF/EUR,Q,SRC-B04-MNB-FX-2026,2026-08-22,Specific rate is Q until the chosen observation date is snapshotted.
VAR-B04-DYNAMIC-HOUSEHOLD-PRICE,B04,DYNAMIC_ELECTRICITY,Lakossági dinamikus ár,Actually available household dynamic product price,HUF/kWh,Q,SRC-B04-HUPX-DATA-2026,2026-08-22,Wholesale spot availability does not prove a household product.
VAR-B04-FIXED-CHARGE,B04,COMPONENT_BRIDGE,Fix díj,Applicable annual fixed meter/connection charge,HUF/year,Q,SRC-B04-MEKH-SYSTEM-FEES-2024,2026-08-22,Exact current 2026 component bridge remains to be extracted.
