source_id,module_id,layer,title,institution,url,reference_period,retrieved_at,source_tier,evidence_status,license_status,local_snapshot_status,notes
SRC-B03-MVM-REGULATED-TARIFF-F4-2026,B03,REGULATED_RESIDENTIAL_TARIFF,F.4 függelék – Egyetemes szolgáltatás ára és áralkalmazási feltételek,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/foldgaz/contents/Documents/foldgaz/Dokumentumok/Jogszabalyok-szabalyzatok/AKTUALIS-UZLETSZABALYZAT-ALTALANOS-SZERZODESI-FELTETELEK/Egyetemes-foldgazszolgaltatoi-uzletszabalyzat-20260301.pdf?download=,2026-03-01 onward,2026-08-22,P2,OBS,PUBLIC,HIGH,"F.4 effective 2026-03-01; contains A1 2.256 Ft/MJ and residential above-threshold net/gross price."
SRC-B03-MVM-GAS-BILLING-2026,B03,REGULATED_RESIDENTIAL_TARIFF,Alkalmazott díjak és MJ-alapú elszámolás,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/foldgaz/Kozszolgaltatasi-informaciok/Alkalmazott-dijak,undated,2026-08-22,P2,OBS,PUBLIC,HIGH,"Confirms normalised m3 × measured heating value × Ft/MJ and residential VAT treatment."
SRC-B03-MVM-GAS-CALCULATOR-2026,B03,REGULATED_RESIDENTIAL_TARIFF,Éves lakossági földgáz árkalkulátor,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/foldgaz/Egyetemes-Szolgaltatas/Ugyintezes/Arak-dijszabasok/Eves-dijkalkulator/dijkalkulator,undated,2026-08-22,P2,OBS,PUBLIC,HIGH,"Reference only: 34.87 MJ/m3 and correction factor 1; actual billing is period-specific."
SRC-B03-ACER-TTF-2026,B03,WHOLESALE_IMPORT,TTF gas day-ahead and forward prices,Agency for the Cooperation of Energy Regulators,https://aegis.acer.europa.eu/chest/dataitems/1090/view,2025-01 to 2027-03,2026-08-22,P1,OBS,TERMS_TO_VERIFY,Q,"Official data item; numeric export and reuse terms still require capture."
SRC-B03-EEX-GAS-MARKETS-2026,B03,WHOLESALE_IMPORT,Natural Gas Markets,European Energy Exchange AG,https://www.eex.com/en/markets/natural-gas,current market structure,2026-08-22,P2,OBS,LICENSE_REQUIRED,Q,"Product/source gate only; no local price snapshot."
SRC-B03-ICE-TTF-FUTURES-2026,B03,WHOLESALE_IMPORT,ICE Dutch TTF Natural Gas Futures,Intercontinental Exchange,https://www.ice.com/products/82843860/ICE-Futures-Europe-Dutch-TTF-Natural-Gas-Futures,current contract specification,2026-08-22,P2,OBS,LICENSE_REQUIRED,Q,"Contract specification gate; numeric export not captured."
SRC-B03-MNB-FX-2026,B03,FX,EUR/HUF daily and historical rates,Magyar Nemzeti Bank,https://www.mnb.hu/arfolyam-tablazat,2026-08-12 and 2026-08-17,2026-08-22,P1,OBS,PUBLIC,Q,"Official rates are recorded in the processed history; full historical download remains Q."
SRC-B03-FGSZ-GAS-QUALITY-2026,B03,WHOLESALE_IMPORT,Point-specific gas quality parameters,FGSZ Földgázszállító Zrt.,https://fgsz.hu/articles/show/3-1-2-c-2-gazminosegi-parameterek-pontonkent-az-elteresek-rendszerhasznalokat-terhelo-koeltsegei,2025 and current rules,2026-08-22,P2,OBS,TERMS_TO_VERIFY,Q,"Heating value source gate; period/point numeric snapshot not captured."
SRC-B03-MVM-GAS-QUALITY-2026,B03,WHOLESALE_IMPORT,Gas quality and billing heating value,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/foldgaz/Egyetemes-Szolgaltatas/Ugyintezes/Szamlazas/Gazminoseg,customer billing period,2026-08-22,P2,OBS,TERMS_TO_VERIFY,Q,"Daily actual average; no national constant is inferred."
SRC-B03-EUROSTAT-GAS-PRICES-2026,B03,MARKET_RESIDENTIAL_FINAL,Household natural gas prices by consumption band,Eurostat,https://ec.europa.eu/eurostat/cache/metadata/en/nrg_pc_202_sims.htm,2015-2026 semestrial,2026-08-22,P1,OBS,EU_REUSE,Q,"Official benchmark for supply/network/tax components; Hungarian values not yet snapshotted locally."
SRC-B03-MVM-GAS-TARIFFS-2026,B03,REGULATED_RESIDENTIAL_TARIFF,Lakossági földgáz árak és díjszabások,MVM Next Energiakereskedelmi Zrt.,https://www.mvmnext.hu/foldgaz/Egyetemes-Szolgaltatas/Ugyintezes/Arak-dijszabasok,2026-08-01 to 2027-07-31,2026-08-22,P2,OBS,TERMS_TO_VERIFY,Q,"Threshold is recorded; exact current unit prices need a versioned snapshot."
