variable_id,module_id,name,definition,unit,default_value,min_value,max_value,status,source_ids,updated_at,notes
VAR-B01-TARGET-HOUSEHOLDS,B01,Programcél háztartások száma,A program által a teljes horizont végéig elérni kívánt kumulált háztartásszám,household,2000000,0,2500000,POL,,2026-08-12,"Szakpolitikai célparaméter; nem állítás a technikailag alkalmas állományról. Joseph döntése és B02 korlátja szükséges."
VAR-B01-HORIZON-YEARS,B01,Programhorizont,A telepítési program hossza a kezdőévtől a célállomány eléréséig,year,15,8,25,SCN,,2026-08-12,"Kötelező riportpontok: 12 15 és 20 év; az alkalmazásban később 8–25 év közötti szabad paraméter."
VAR-B01-RAMP-PROFILE,B01,Felfutási profil,Az éves telepítésszám időbeli alakja,enum,logistic,,,SCN,,2026-08-12,"Kötelező változatok: linear logistic capacity_limited. A paraméterezés B18 kapacitáskorlátjai nélkül nem validálható."
VAR-B01-REGIONAL-RESOLUTION,B01,Területi felbontás,A telepítési pálya legkisebb kötelező területi egysége,enum,county,,,POL,,2026-08-12,"Legalább vármegye vagy elosztói régió; a végleges leképezés nyitott kérdés."
VAR-B02-ELIGIBLE-DWELLINGS,B02,Technikailag alkalmas lakások,A program jogi műszaki és gazdasági feltételeit teljesítő lakások száma,dwelling,,,,Q,SRC-B02-KSH-CENSUS-API-2022;SRC-B02-KSH-ENERGY-2025;SRC-B02-KSH-ENERGY-METHOD-2025,2026-08-12,"Nem azonos a teljes lakásállománnyal vagy a meglévő hőszivattyús lakásokkal; archetípusonként és régiónként kell levezetni."
VAR-B02-BUILDING-TYPE,B02,Épülettípus archetípus,Az épület szerkezeti és lakásszám szerinti kanonikus kategóriája,enum,,,,OBS,SRC-B02-KSH-ENERGY-2025,2026-08-12,"A publikált KSH energetikai modell két kanonikus kategóriája: FAMILY_HOUSE és MULTI_DWELLING; a népszámlálási API-cellákhoz nincs közvetlen join."
VAR-B02-CONSTRUCTION-PERIOD,B02,Építési időszak,A lakás vagy épület építési korcsoportja,enum,,,,OBS,SRC-B02-KSH-CENSUS-API-2022,2026-08-12,"A KSH EPEV_POC1 hét levélkódja a kanonikus kategóriakészlet; TOTAL csak kontroll."
VAR-B02-HEATED-FLOOR-AREA,B02,Fűtött alapterület,A hőigény számításánál figyelembe vett fűtött nettó alapterület,m2,,,,Q,SRC-B02-KSH-CENSUS-API-2022;SRC-B02-KSH-ENERGY-2025,2026-08-12,"A KSH LAT_V alapterület-sávja megfigyelt kategória de nem azonos a fűtött nettó alapterület pontértékével; külön levezetés kell."
VAR-B02-PRIMARY-ENERGY-NEED,B02,Fajlagos primerenergia-igény,A lakás becsült összesített energetikai jellemzője,kWh/m2/year,,,,DER,SRC-B02-KSH-ENERGY-2025;SRC-B02-KSH-ENERGY-METHOD-2025,2026-08-12,"KSH random-forest modellbecslés ÉKM 9/2023 rendszerre átszámítva; épülettípus és építési időszak szerint publikált átlag és eloszlás áll rendelkezésre."
VAR-B02-CENSUS-DWELLING-UNIVERSE,B02,Népszámlálási lakásuniverzum,A KSH energetikai módszertanában közölt teljes 2022-es lakásállomány,dwelling,4580538,4580538,4580538,OBS,SRC-B02-KSH-ENERGY-METHOD-2025,2026-08-12,"Kontrolluniverzum a publikált energetikai eloszlások lefedettségéhez; nem azonos a lakott programcél-állománnyal."
VAR-B02-LINKED-ENERGY-CERTIFICATES,B02,Kapcsolt energiatanúsítványok,A 2022-es népszámlálási lakásrekordhoz kapcsolt és a módszertanban közölt energiatanúsítványok száma,dwelling,279020,279020,279020,OBS,SRC-B02-KSH-ENERGY-METHOD-2025,2026-08-12,"A módszertan kerekítve 6.1%-os kapcsolási arányt közöl; ez a modell tanítási/validálási adatkapcsolata és nem teljes mérési lefedettség."
VAR-B02-PUBLISHED-BIN-DWELLINGS,B02,Publikált energetikai binekben szereplő lakások,A családi ház és többlakásos épület 10–590 kWh/m2/year ábraértékeiből összeadott lakásszám,dwelling,4575790,0,4580538,DER,SRC-B02-KSH-ENERGY-2025,2026-08-12,"A 944 publikált ábracella összege; a teljes lakásuniverzumhoz képest 4 748 lakás maradéka nem imputálható automatikusan."
VAR-B02-PUBLISHED-BIN-COVERAGE,B02,Publikált energetikai binlefedettség,A publikált energetikai binek lakásszámának aránya a módszertani teljes lakásuniverzumhoz,ratio,0.9989634405390808,0,1,DER,SRC-B02-KSH-ENERGY-2025;SRC-B02-KSH-ENERGY-METHOD-2025,2026-08-12,"FORM-B02-PUBLISHED-BIN-COVERAGE eredménye; nem azonos a tanúsítvány-kapcsolási aránnyal."
VAR-B02-HEATING-SYSTEM,B02,Fűtési rendszer,A lakás fő hőtermelő és hőleadó rendszerének kanonikus kategóriája,enum,,,,Q,SRC-B02-KSH-CENSUS-API-2022;SRC-B02-KSH-ENERGY-2025,2026-08-12,"A FUTES_TOH és FUTMODAG_V3 megfigyelt fűtési kategóriát ad de a hőleadó rendszert nem; a teljes kanonikus leképezés nyitott."
VAR-B03-TTF-PRICE,B03,TTF földgázár,A kiválasztott TTF spot vagy határidős termék megfigyelt ára,EUR/MWh,,,,Q,SRC-B03-EEX-GAS-MARKETS-2026;SRC-B03-ICE-TTF-FUTURES-2026,2026-08-12,"A termék lejárata elszámolási napja és adatlicence minden megfigyelés kötelező metaadata."
VAR-B03-EUR-HUF,B03,EUR/HUF árfolyam,Az MNB hivatalos EUR árfolyama forintban,HUF/EUR,,,,Q,SRC-B03-MNB-FX-2026,2026-08-12,"A spot és hosszú távú árpályához eltérő aggregációs szabály szükséges."
VAR-B03-LOWER-HEATING-VALUE,B03,Földgáz alsó hőértéke,A releváns hálózati pont és időszak mennyiséggel súlyozott alsó hőértéke,MJ/m3,,,,Q,SRC-B03-FGSZ-GAS-QUALITY-2026;SRC-B03-MVM-GAS-QUALITY-2026,2026-08-12,"Nem helyettesíthető egyetlen országos állandóval; pont- és időszakfüggő adat."
VAR-B03-WHOLESALE-PROXY,B03,Nagykereskedelmi földgázár-proxy,A commodity ár árfolyam és energiatartalom alapján képzett importérték-proxy,HUF/m3,,,,Q,SRC-B03-EEX-GAS-MARKETS-2026;SRC-B03-MNB-FX-2026;SRC-B03-FGSZ-GAS-QUALITY-2026,2026-08-12,"DER státusz csak a konverziós képlet és egységteszt elfogadása után adható."
VAR-B03-RESIDENTIAL-PRICE,B03,Teljes lakossági földgázár,A háztartás által fizetett energia- és szabályozott díjkomponensek teljes egységköltsége,HUF/m3,,,,Q,,2026-08-12,"A nagykereskedelmi proxytól külön kezelendő; a díjelemek forrásfeltárása még hiányos."
